label,sample
podcast_episode,The Comet
podcast_episode,Gonna Roll the Bones
podcast_episode,Outside the House
podcast_episode,The Colossus of Ylourgne
podcast_episode,The Man Who Went Too Far
podcast_episode,The Captain of the Pole
podcast_episode,A Matter of Fact
podcast_episode,Crewe
podcast_episode,The Diary of Alonzo Typer
podcast_episode,The Shadow Out of Time
podcast_episode,Blood for the Vampire Dead
podcast_episode,The Old Nurse's Story
podcast_episode,The Hoofed Thing
podcast_episode,The Secret in the Tomb & The Suicide in the Study
podcast_episode,The House and The Brain
podcast_episode,The Desrick on Yandro
podcast_episode,The Yellow Wallpaper
podcast_episode,Copping Squid
podcast_episode,The Lumber Room & The She
podcast_episode,The Black Stone Statue
podcast_episode,The Gateway of the Monster
podcast_episode,The Masque of the Red Death
podcast_episode,Ethan Brand
podcast_episode,Innsmouth Wrap
podcast_episode,The Canterville Ghost
podcast_episode,Men Without Bones
podcast_episode,Mrs. Lunt
podcast_episode,Gabriel
podcast_episode,Poetry and the Gods & Celephais
podcast_episode,The Signal
podcast_episode,The Canal
podcast_episode,Lovecraft’s Juvenilia
podcast_episode,Speech Sounds
podcast_episode,And the Dead Spake
podcast_episode,In Amundsen's Tent
podcast_episode,In the Abyss
podcast_episode,The Aquarium
podcast_episode,The Horror of the Heights
podcast_episode,Varney the Vampire
podcast_episode,Lot no. 249
podcast_episode,The White People
podcast_episode,Lovecraft’s Last Days and Legacy
podcast_episode,Good Lady Ducayne
podcast_episode,The Derelict
podcast_episode,The Story of the Inexperienced Ghost
podcast_episode,Medusa’s Coil
podcast_episode,Ancient Sorceries
podcast_episode,The Street
podcast_episode,Edward Randolph’s Portrait
podcast_episode,The Painted Skin, The Haunted House & Spitting Water
podcast_episode,The Children of the Night
podcast_episode,The House of the Sphinx & The Probable Adventure of Three Literary Men
podcast_episode,The House of Sounds
podcast_episode,Brenda
podcast_episode,The Shadows on the Wall
podcast_episode,The Willows
podcast_episode,Herbert West: Reanimator
podcast_episode,Under the Pyramids
podcast_episode,What the Moon Brings & Azathoth
podcast_episode,Supernatural Horror in Literature
podcast_episode,Bartleby, the Scrivener
podcast_episode,The Fall of the House of Usher
podcast_episode,Enoch
podcast_episode,Smoke Ghost
podcast_episode,The Demoiselle D'ys
podcast_episode,HPPodcraft LIVE in Chicago!
podcast_episode,The Dreams in the Witch House
podcast_episode,Sticks
podcast_episode,The Vengeance of Nitocris
podcast_episode,The Tapestried Chamber
podcast_episode,Leslie S. Klinger Interview
podcast_episode,S.T. Joshi Interview
podcast_episode,The Outsider
podcast_episode,The Hanging Stranger
podcast_episode,NecronomiCon
podcast_episode,The Haunter of the Dark
podcast_episode,The Horror in the Museum
podcast_episode,Pigeons from Hell
podcast_episode,The Difficulty of Crossing a Field, An Unfinished Race, Charles Ashmore’s Trail, Science to the Front & Oil of Dog!
podcast_episode,The Dream of Akinosuke
podcast_episode,The Beast with Five Fingers
podcast_episode,Queen of the Black Coast
podcast_episode,The Dunwich Horror
podcast_episode,The Challenge from Beyond
podcast_episode,The Invaders
podcast_episode,The Black Stone
podcast_episode,The Phantom of the Opera
podcast_episode,The Strange Case of Dr. Jekyll and Mr. Hyde
podcast_episode,The Bells of Oceana
podcast_episode,The Suitable Surroundings
podcast_episode,In the Walls of Eryx
podcast_episode,From Beyond
podcast_episode,Out of the Aeons
podcast_episode,The Crimson Blind
podcast_episode,The Green Wildebeest
podcast_episode,Urban Legends & Random Obsessions 1
podcast_episode,The Money Diggers
podcast_episode,Metzengerstein
podcast_episode,The Screwfly Solution
podcast_episode,The Novel of the Black Seal
podcast_episode,The Mummy’s Foot
podcast_episode,The Thing on the Doorstep
podcast_episode,The Dunwich Horror Revisited
podcast_episode,Luella Miller
podcast_episode,The Transition of Juan Romero
podcast_episode,The Ambitious Guest
podcast_episode,The Tree & The Cats of Ulthar
podcast_episode,Manuscript Found in a Bottle
podcast_episode,Spawn of the Green Abyss
podcast_episode,The Empty House
podcast_episode,The Sunken Land
podcast_episode,The H.P. Lovecraft Historical Society’s Time Machine
podcast_episode,The Doom That Came to Sarnath
podcast_episode,The Horla
podcast_episode,The Unbroken Chain
podcast_episode,Who Knows?
podcast_episode,In the Vault & The Descendant
podcast_episode,The Vegetable Man
podcast_episode,The Mark of the Beast
podcast_episode,Bat Man
podcast_episode,Lost Memory
podcast_episode,The Rat
podcast_episode,The Other Gods
podcast_episode,The Novel of the White Powder
podcast_episode,The Harbour
podcast_episode,The Striding Place
podcast_episode,The Diary of a Madman
podcast_episode,Count Magnus
podcast_episode,Ligeia
podcast_episode,Fat Face
podcast_episode,A Warning to the Curious
podcast_episode,Seaton’s Aunt
podcast_episode,A Strange Christmas Game & Smee
podcast_episode,Black God's Kiss
podcast_episode,The Space
podcast_episode,The Shadow
podcast_episode,Po’ Sandy
podcast_episode,The King of the Cats
podcast_episode,Innsmouth Clay
podcast_episode,Hypnos
podcast_episode,The Lake
podcast_episode,The Man of the Crowd
podcast_episode,Dracula’s Guest
podcast_episode,The Stalls of Barchester Cathedral
podcast_episode,The Hounds of Tindalos
podcast_episode,Ramsey Campbell Interview
podcast_episode,The Wind in the Portico
podcast_episode,The Invisible Eye
podcast_episode,The Time Machine
podcast_episode,The Curse of Yig
podcast_episode,The Room in the Tower
podcast_episode,Frankenstein
podcast_episode,The Grinning Ghoul
podcast_episode,The Facts in the Case of M. Valdemar
podcast_episode,The Man Upstairs
podcast_episode,At the Mountains of Madness
podcast_episode,The Spook House
podcast_episode,The Music of Erich Zann
podcast_episode,Doctor Satan
podcast_episode,The Face
podcast_episode,The Beast of Averoigne
podcast_episode,The Seven Geases
podcast_episode,The Moonlit Road
podcast_episode,The Spectre
podcast_episode,The Survivor
podcast_episode,The Human Chair
podcast_episode,The Bus
podcast_episode,The Trap
podcast_episode,The Yellow Sign
podcast_episode,The Tower of the Elephant
podcast_episode,The Dead Smile
podcast_episode,The Phantom Rickshaw
podcast_episode,Beyond the Wall of Sleep
podcast_episode,Thurnley Abbey
podcast_episode,The Mask
podcast_episode,Negotium Perambulans
podcast_episode,The Transfer
podcast_episode,Beyond the Door
podcast_episode,Sredni Vashtar & Tobermory
podcast_episode,The Events at Poroth Farm
podcast_episode,The Wolf
podcast_episode,A Rose for Emily
podcast_episode,Yesterday Was Monday
podcast_episode,William Wilson
podcast_episode,Kid Stuff
podcast_episode,The House Among the Laurels
podcast_episode,Bloodchild
podcast_episode,Sir Bertrand
podcast_episode,Where Their Fire is not Quenched
podcast_episode,Master of the Asteroid
podcast_episode,The Disinterment
podcast_episode,The Night Wire
podcast_episode,The Book & The Tree on the Hill
podcast_episode,The Damned Thing
podcast_episode,The Wendigo
podcast_episode,The Hound
podcast_episode,The Faceless God
podcast_episode,The Eyes
podcast_episode,Caterpillars
podcast_episode,The Werewolf of Ponkert
podcast_episode,To Arkham and the Stars
podcast_episode,A Story Told by the Sea
podcast_episode,The Death of Halpin Frayser
podcast_episode,The Tree
podcast_episode,The Mound
podcast_episode,Nyarlathotep & The Crawling Chaos
podcast_episode,An Account of Some Strange Disturbances in Aungier Street
podcast_episode,The Man from Time
podcast_episode,The Terror from the Depths
podcast_episode,Dig Me No Grave
podcast_episode,The Charnel God
podcast_episode,The Strange High House in the Mist
podcast_episode,The Vaults of Yoh
podcast_episode,The Testament of Athammaus
podcast_episode,Dagoniad
podcast_episode,In the Court of the Dragon
podcast_episode,The Fog Horn
podcast_episode,The Middle Toe of the Right Foot & An Inhabitant of Carcosa
podcast_episode,The Graveyard Rats
podcast_episode,The Tomb
podcast_episode,The Rats in the Walls
podcast_episode,The Red Lodge
